station_id,wmo_station_number,observation_time_utc,latitude,longitude,air_temperature_c,dew_point_temperature_c,station_pressure_hpa,mslp_hpa,wind_direction_deg,wind_speed_ms,horizontal_visibility_km,total_cloud_amount_oktas,cloud_base_height_m,present_weather_code,present_weather_description,past_weather_code,past_weather_description,past_weather_2_code,past_weather_2_description,pressure_tendency_characteristic_code,pressure_tendency_characteristic,pressure_tendency_change_hpa,precipitation_amount_mm,precipitation_period_hours,raw_synop
42182,42182,2025-07-01T15:00:00Z,28.583333,77.2,31.2,27.1,,996.6,90,1.543,4.0,3,1000,10,Mist,1,Cloud covering more than half of the sky during part of the period and half or less during part,0,Cloud covering half or less of the sky throughout the period,,,,0.3,12.0,AAXX 01154 42182 21696 30903 10312 20271 49966 71010 81530 333 58000 6993/ 81635 83360=
42182,42182,2025-07-01T18:00:00Z,28.583333,77.2,30.2,26.6,,997.7,0,0.0,4.0,5,1000,10,Mist,0,Cloud covering half or less of the sky throughout the period,0,Cloud covering half or less of the sky throughout the period,,,,0.3,15.0,AAXX 01184 42182 21696 50000 10302 20266 49977 71000 82530 333 58000 6993/ 82635 84360=
42182,42182,2025-07-01T21:00:00Z,28.583333,77.2,29.0,26.2,,997.7,0,0.0,4.0,4,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,0.3,18.0,AAXX 01214 42182 21596 40000 10290 20262 49977 71021 82530 333 58008 6993/ 82630 84360=
42182,42182,2025-07-02T00:00:00Z,28.583333,77.2,28.6,26.6,,997.9,0,0.0,4.0,5,600,10,Mist,2,Cloud covering more than half of the sky throughout the period,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,0.3,21.0,AAXX 02004 42182 21596 50000 10286 20266 49979 71021 82530 333 58007 6993/ 82630 85360=
42182,42182,2025-07-02T03:00:00Z,28.583333,77.2,31.8,26.5,,998.4,50,2.572,4.0,3,1000,5,Haze,1,Cloud covering more than half of the sky during part of the period and half or less during part,0,Cloud covering half or less of the sky throughout the period,,,,0.3,24.0,AAXX 02034 42182 21696 30505 10318 20265 49984 70510 82530 333 10351 20276 59014 6993/ 82635 555 00003 10110=
42182,42182,2025-07-02T06:00:00Z,28.583333,77.2,35.0,27.0,,998.2,50,2.058,4.0,5,1000,5,Haze,2,Cloud covering more than half of the sky throughout the period,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,,,AAXX 02064 42182 31696 50504 10350 20270 49982 70521 85400 333 59013 85835=
42182,42182,2025-07-02T09:00:00Z,28.583333,77.2,34.0,28.9,,996.2,,1.029,4.0,6,600,10,Mist,6,Rain,2,Cloud covering more than half of the sky throughout the period,,,,1.0,6.0,AAXX 02094 42182 21596 69902 10340 20289 49962 71062 86300 333 59005 6001/ 83630 84835 81940=
42182,42182,2025-07-02T12:00:00Z,28.583333,77.2,34.6,26.0,,994.6,90,4.0,4.0,6,600,5,Haze,6,Rain,2,Cloud covering more than half of the sky throughout the period,,,,1.0,9.0,AAXX 02123 42182 21596 60904 10346 20260 49946 70562 86300 333 10366 59004 6001/ 83630 84835 81940=
42182,42182,2025-07-02T15:00:00Z,28.583333,77.2,32.0,26.7,,996.7,,1.029,4.0,3,1000,5,Haze,2,Cloud covering more than half of the sky throughout the period,1,Cloud covering more than half of the sky during part of the period and half or less during part,,,,1.0,12.0,AAXX 02154 42182 21696 39902 10320 20267 49967 70521 81530 333 58001 6001/ 81635 83360=
42182,42182,2025-07-02T18:00:00Z,28.583333,77.2,31.2,26.8,,997.8,,1.029,4.0,1,2500,10,Mist,1,Cloud covering more than half of the sky during part of the period and half or less during part,0,Cloud covering half or less of the sky throughout the period,,,,1.0,15.0,AAXX 02184 42182 21996 19902 10312 20268 49978 71010 81030 333 58002 6001/ 81360=
